ORDER_ID,DATE,PRICE,Quantity,SALES
10107,24/02/2018,95.7,30,2871
10121,7/5/2018,81.35,34,2765.9
10134,1/7/2018,94.74,41,3884.34
10145,25/08/2018,83.26,45,3746.7
10168,28/10/2018,96.66,36,3479.76
10180,11/11/2018,86.13,29,2497.77
10188,18/11/2018,114.84,48,5512.32
10211,15/01/2019,114.84,41,4708.44
10223,20/02/2019,107.18,37,3965.66
10237,5/4/2019,101.44,23,2333.12
10251,18/05/2019,113.88,28,3188.64
10263,28/06/2019,108.14,34,3676.76
10275,23/07/2019,92.83,45,4177.35
10285,27/08/2019,113.88,36,4099.68
10299,30/09/2019,112.93,23,2597.39
10309,15/10/2019,107.18,41,4394.38
10318,2/11/2019,94.74,46,4358.04
10329,15/11/2019,104.67,42,4396.14
10341,24/11/2019,188.73,41,7737.93
10361,17/12/2019,72.55,20,1451
10375,3/2/2020,34.91,21,733.11
10388,3/3/2020,76.36,42,3207.12
10403,8/4/2020,101.44,24,2434.56
10417,13/05/2020,113.88,66,7516.08
10103,29/01/2018,207.87,26,5404.62
10112,24/03/2018,248.59,29,7209.11
10126,28/05/2018,192.87,38,7329.06
10140,24/07/2018,199.3,37,7374.1
10150,19/09/2018,244.3,45,10993.5
10163,20/10/2018,231.44,21,4860.24
10174,6/11/2018,235.73,34,8014.82
10183,13/11/2018,233.59,23,5372.57
10194,25/11/2018,173.58,42,7290.36
10206,5/12/2018,192.87,47,9064.89
10215,29/01/2019,173.58,35,6075.3
10228,10/3/2019,222.87,29,6463.23
10245,4/5/2019,180.01,34,6120.34
10258,15/06/2019,240.02,32,7680.64
10270,19/07/2019,233.59,21,4905.39
10280,17/08/2019,235.73,34,8014.82
10291,8/9/2019,192.87,37,7136.19
10304,11/10/2019,216.44,47,10172.7
10312,21/10/2019,242.16,48,11623.7
10322,4/11/2019,150.01,40,6000.4
10347,29/11/2019,131.49,30,3944.7
10357,10/12/2019,177.87,32,5691.84
10369,20/01/2020,110.12,41,4514.92
10391,9/3/2020,100.69,24,2416.56
10411,1/5/2020,180.01,23,4140.23
10424,31/05/2020,240.02,50,12001
10120,29/04/2018,96.34,29,2793.86
10210,12/1/2019,130.83,23,3009.09
10236,3/4/2019,129.64,22,2852.08
10298,27/09/2019,96.34,39,3757.26
10308,15/10/2019,118.94,34,4043.96
10339,23/11/2019,68.92,40,2756.8
10374,2/2/2020,135.59,39,5288.01
10402,7/4/2020,129.64,45,5833.8
10362,5/1/2020,166.55,22,3664.1
10105,11/2/2018,144.16,50,7208
10119,28/04/2018,108.8,46,5004.8
10129,12/6/2018,133.28,33,4398.24
10143,10/8/2018,114.24,49,5597.76
10155,6/10/2018,141.44,32,4526.08
10167,23/10/2018,134.64,44,5924.16
10178,8/11/2018,145.52,24,3492.48
10186,14/11/2018,148.24,26,3854.24
10197,26/11/2018,118.32,45,5324.4
10222,19/02/2019,122.4,49,5997.6
10248,7/5/2019,145.52,20,2910.4
10261,17/06/2019,125.12,27,3378.24
10273,21/07/2019,116.96,30,3508.8
10283,20/08/2019,119.68,25,2992
10295,10/9/2019,142.8,24,3427.2
10307,14/10/2019,122.4,22,2692.8
10316,1/11/2019,125.12,33,4128.96
10325,5/11/2019,64.93,47,3051.71
10337,21/11/2019,48.05,25,1201.25
10350,2/12/2019,75.47,26,1962.22
10359,15/12/2019,54.68,48,2624.64
10373,31/01/2020,103.75,39,4046.25
10395,17/03/2020,105.33,32,3370.56
10400,1/4/2020,150.96,64,9661.44
10414,6/5/2020,145.52,19,2764.88
10114,1/4/2018,138.88,31,4305.28
10164,21/10/2018,168.42,21,3536.82
10175,6/11/2018,162.51,33,5362.83
10207,9/12/2018,131.49,31,4076.19
10217,4/2/2019,146.26,48,7020.48
10229,11/3/2019,128.53,50,6426.5
10259,15/06/2019,155.13,26,4033.38
10281,19/08/2019,159.56,44,7020.64
10305,13/10/2019,175.81,38,6680.78
10313,22/10/2019,166.95,40,6678
