ORDER_ID,CUSTOMER NAME,PRODUCT,COUNTRY
10107,Land of Toys Inc.,Motorcycles,USA
10121,Reims Collectables,Motorcycles,France
10134,Lyon Souveniers,Motorcycles,France
10145,Toys4GrownUps.com,Motorcycles,USA
10168,Technics Stores Inc.,Motorcycles,USA
10180,Daedalus Designs Imports,Motorcycles,France
10188,Herkku Gifts,Motorcycles,Norway
10211,Auto Canal Petit,Motorcycles,France
10223,"Australian Collectors, Co.",Motorcycles,Australia
10237,Vitachrome Inc.,Motorcycles,USA
10251,Tekni Collectables Inc.,Motorcycles,USA
10263,Gift Depot Inc.,Motorcycles,USA
10275,La Rochelle Gifts,Motorcycles,France
10285,Marta's Replicas Co.,Motorcycles,USA
10299,"Toys of Finland, Co.",Motorcycles,Finland
10309,Baane Mini Imports,Motorcycles,Norway
10318,Diecast Classics Inc.,Motorcycles,USA
10329,Land of Toys Inc.,Motorcycles,USA
10341,Salzburg Collectables,Motorcycles,Austria
10361,Souveniers And Things Co.,Motorcycles,Australia
10375,La Rochelle Gifts,Motorcycles,France
10388,FunGiftIdeas.com,Motorcycles,USA
10403,"UK Collectables, Ltd.",Motorcycles,UK
10417,Euro Shopping Channel,Motorcycles,Spain
10103,Baane Mini Imports,Classic Cars,Norway
10112,"Volvo Model Replicas, Co",Classic Cars,Sweden
10126,"Corrida Auto Replicas, Ltd",Classic Cars,Spain
10140,Technics Stores Inc.,Classic Cars,USA
10150,"Dragon Souveniers, Ltd.",Classic Cars,Singapore
10163,Classic Legends Inc.,Classic Cars,USA
10174,"Australian Gift Network, Co",Classic Cars,Australia
10183,"Classic Gift Ideas, Inc",Classic Cars,USA
10194,"Saveley & Henriot, Co.",Classic Cars,France
10206,Canadian Gift Exchange Network,Classic Cars,Canada
10215,West Coast Collectables Co.,Classic Cars,USA
10228,Cambridge Collectables Co.,Classic Cars,USA
10245,Super Scale Inc.,Classic Cars,USA
10258,"Tokyo Collectables, Ltd",Classic Cars,Japan
10270,Souveniers And Things Co.,Classic Cars,Australia
10280,Amica Models & Co.,Classic Cars,Italy
10291,Scandinavian Gift Ideas,Classic Cars,Sweden
10304,Auto Assoc. & Cie.,Classic Cars,France
10312,Mini Gifts Distributors Ltd.,Classic Cars,USA
10322,Online Diecast Creations Co.,Classic Cars,USA
10347,"Australian Collectors, Co.",Classic Cars,Australia
10357,Mini Gifts Distributors Ltd.,Classic Cars,USA
10369,Collectables For Less Inc.,Classic Cars,USA
10391,"Anna's Decorations, Ltd",Classic Cars,Australia
10411,Quebec Home Shopping Network,Classic Cars,Canada
10424,Euro Shopping Channel,Classic Cars,Spain
10120,"Australian Collectors, Co.",Motorcycles,Australia
10210,Osaka Souveniers Co.,Motorcycles,Japan
10236,Motor Mint Distributors Inc.,Motorcycles,USA
10298,Atelier graphique,Motorcycles,France
10308,Mini Classics,Motorcycles,USA
10339,"Tokyo Collectables, Ltd",Motorcycles,Japan
10374,"Australian Gift Network, Co",Motorcycles,Australia
10402,Auto Canal Petit,Motorcycles,France
10362,Technics Stores Inc.,Motorcycles,USA
10105,Danish Wholesale Imports,Classic Cars,Denmark
10119,Salzburg Collectables,Classic Cars,Austria
10129,"Stylish Desk Decors, Co.",Classic Cars,UK
10143,Mini Creations Ltd.,Classic Cars,USA
10155,"Toys of Finland, Co.",Classic Cars,Finland
10167,Scandinavian Gift Ideas,Classic Cars,Sweden
10178,Alpha Cognac,Classic Cars,France
10186,"Double Decker Gift Stores, Ltd",Classic Cars,UK
